gene,GNPAT,NDUFS2,VPS45,DEDD,C8orf76,DERL1,DCAF13,SDHC,MRPL13,SLC25A44,SETDB1,YY1AP1,YWHAZ,POGK,SNAP47,B4GALT3,NUDCD1,USP21,POLR2K,ZNF7,BPNT1,APH1A,UBE2Q1,DAP3,TARS2,PRCC,PTK2,TFB2M,GGPS1,PI4KB,NUCKS1,MSTO1,NSMCE2,C8orf33,ZNF706,SNAPIN,PIGC,TAF5L,PYGO2,C1orf131,TATDN1,NSL1,EBAG9,MTDH,SLC25A32,GABPB2,VPS72,IARS2,TIPRL
GNPAT,1.0000000000000127,0.4344146107506778,0.46947814100770535,0.4370156954240424,0.09159191744307073,0.019438740331520904,0.0831940647063745,0.47819361222798523,0.10035894955183147,0.46489939165382976,0.41155535694982504,0.46272192138027834,0.09267927748117585,0.500057727793342,0.5180325357594481,0.38583851840717076,0.08007468267938397,0.3736038871996405,0.05945202548822803,-0.02396179569003845,0.5430802397012087,0.3785305243489406,0.4836056364800742,0.47705191886997395,0.36263234901431973,0.4386045836361512,0.1153458042124055,0.6396770305800623,0.6654098503228345,0.33501524970982566,0.5048161089405262,0.36746723221864874,0.017845306536072025,-0.02858734157916412,0.020633895730922586,0.49510188053016885,0.516852210088409,0.6496343204021726,0.3878759014012443,0.6937388771274605,0.09991870942744874,0.5290367653800987,0.02311030100174788,0.05166564882026807,-0.0088011140862016,0.45070817024259463,0.3481888762912162,0.5450586762141152,0.5549848658897595
NDUFS2,0.4344146107507096,1.000000000000046,0.47904074018186016,0.6595415345005213,0.15983953325153655,-0.012249454503892455,0.07975244104900533,0.7528573401262134,0.14067673397892716,0.4952209714488033,0.48079271587893607,0.5215945914528074,0.007932478660164693,0.3652939655896754,0.4422421554356819,0.7225772865151043,0.028328281376873946,0.6351789648762597,0.014825684940789778,-0.021258387983719047,0.38602511581981097,0.4886457497766634,0.5567354427508009,0.6500247715651715,0.6357736717864105,0.601692635491651,-0.014628804589404604,0.4891425699737033,0.3801824127007876,0.49776986070917395,0.24681550270599434,0.5549932450347078,0.009950175122137236,0.024115220168383543,0.02330441455145711,0.5669464557069942,0.4328809700711829,0.35003781003276635,0.5570507350916462,0.4325095095943127,0.09777517263129987,0.21255050283656868,-0.0208427302064578,-0.0309491602892063,-0.06677360942800332,0.3963587711171807,0.4861351490513762,0.4086683300732696,0.416777192021114
VPS45,0.46947814100775653,0.4790407401818805,1.0000000000000586,0.48832540357637333,0.03316156059695166,-0.09498659982044072,0.006204239167019593,0.47606600508271807,0.015607169386601644,0.49741509937268397,0.6626625873800178,0.521800931875471,0.02267730412921737,0.5080645841398257,0.281585837995988,0.4369188072585497,0.032257801469427305,0.5079762882513216,0.013957053843831918,-0.01904080309308742,0.33962402749744797,0.6247197437690079,0.5146758547029322,0.4272972805040497,0.6245809613150934,0.499229094544527,0.011827676293846429,0.32268054573697114,0.4122821287639557,0.5732624017511484,0.3758140488548729,0.46600143686049456,-0.0313711555211626,-0.09676829236582493,-0.002362259513277093,0.5813438791310549,0.43782370195047066,0.32000284244338545,0.5304746107171638,0.4131088770404149,0.041349497217522624,0.3234518907801348,-0.037364403014615244,-0.021217014014815738,-0.0957845602367742,0.6115670544080685,0.5377301766006115,0.26181417912340854,0.4784706644055959
DEDD,0.4370156954239544,0.6595415345004009,0.48832540357624177,0.999999999999927,0.24769725780870006,0.05550532706249264,0.19036600558357264,0.5924912564558658,0.1468140586832593,0.4223709764091094,0.5860533681124679,0.5591754842398248,0.1581022068216673,0.5355747555211317,0.3462688793939106,0.7334442634320482,0.19373734318973684,0.6750957256784345,0.10015010630391338,0.08067104350622842,0.3426222820759748,0.529085181101442,0.7170208582033291,0.6093791198592812,0.44515303404858964,0.6712256362300884,0.078652609508284,0.36087288641460735,0.27811003707870546,0.5010882619418023,0.29317078858155915,0.6495108846273082,0.12702790626461255,0.031939601834525544,0.1681698714650084,0.5119884129086396,0.513245462696239,0.4403085631355289,0.6127502734828404,0.48037500844340375,0.21514405747388354,0.169380977209074,-0.016494683852890518,0.015176107260122751,0.10790732187567904,0.38426164211306574,0.6404456163693147,0.175837598023958,0.5448625257604323
C8orf76,0.09159191744305535,0.15983953325150163,0.033161560596907655,0.2476972578087338,0.9999999999999947,0.7929606016486614,0.7560645488562378,0.2205690875204463,0.8198592663852254,0.0733807793966559,0.06506086413201385,-0.10556773629236155,0.6843786135093509,0.09905439000811779,0.04800260027901178,0.15192035255766367,0.7037896216698186,-0.015386153671463537,0.7095237519143295,0.5478782419139454,0.12250375796112253,0.1744059101516658,0.3126073395938227,0.3118271304482714,0.018492057301657913,0.1711770815071583,0.5241908020895512,0.22965589943884043,0.019988303030423135,0.019156482203574673,0.05521064880934194,0.14369239216596608,0.7050200812583526,0.6027965661999573,0.7127426512434589,0.02812571528848655,0.10216086959042103,0.134400885797142,0.0063966523873592585,0.24994064941085264,0.7132992678508674,-0.13894678965028834,0.6218264151107954,0.58833294766538,0.6214320421515146,-0.06691239501680854,0.2582130167132954,0.1271332907740071,0.26190632857249996
DERL1,0.019438740331513167,-0.012249454503928517,-0.09498659982049143,0.05550532706255696,0.7929606016486702,1.000000000000001,0.725112736784859,0.1608583166120266,0.7679166292455913,0.07019970300369974,-0.02507950160342662,-0.19368348176892058,0.7313802357199691,0.10970841654498278,-0.1050435539735416,-0.012506763907123276,0.7218657533032621,-0.20484605723939736,0.6588230315834159,0.5292766157010786,0.07352843820683176,0.05812565250289025,0.12785451552884936,0.168032635507458,-0.11817069444492488,-0.09378332311409768,0.646791423622112,0.159396297725664,-0.007374445072257728,-0.1503926584580384,0.12502278892634539,-0.03763973043180571,0.6663896229268741,0.5909581321534455,0.6144408972255258,-0.15884096386021157,-0.0238727221436439,0.10706116185547201,-0.13450322429555014,0.07548074074154976,0.674892057150115,-0.08839595888559967,0.6781093731422286,0.7377838163416488,0.6975024131922778,-0.07653065968623667,-0.018162385794521833,0.18296881991895883,0.2363032937166656
DCAF13,0.08319406470635796,0.07975244104896728,0.006204239166972381,0.190366005583609,0.7560645488562374,0.7251127367848502,0.9999999999999953,0.21567144355347315,0.7678839721345133,0.06571379101578434,0.07748391111541114,-0.12419576197515952,0.7957638684188237,0.1923776476127398,-0.029240870854613327,0.055044538675929205,0.8316907243562089,-0.06483289722052263,0.7798423379823203,0.5509105249141277,0.11903363223339683,0.12476144431884278,0.2577739159132905,0.3365409938828541,-0.042056348205198074,0.07008608035638217,0.5941742705495638,0.2655194946136206,-0.015771829551593425,-0.06666600158704461,0.13384331801996,0.12039645570110089,0.6815475924495261,0.63949624415535,0.7405361202415652,-0.09008885828554253,0.04628967872656134,0.1491301844097433,-0.07170287206562898,0.20572994050182603,0.756996910401605,-0.11974083748909231,0.6584713513849519,0.7042524251442724,0.8265580065524001,-0.09958632144750319,0.19605509463329565,0.1632702997421217,0.3337203928167852
SDHC,0.4781936122279662,0.7528573401261617,0.4760660050826482,0.5924912564559377,0.22056908752045232,0.16085831661202107,0.21567144355348133,0.9999999999999951,0.2604794765821564,0.5662408161476217,0.4476102506728749,0.46624451008214246,0.18952489484333454,0.46202706137717947,0.354691748583255,0.5921241682573815,0.19108026438163334,0.48474385037946033,0.18942258712228252,0.02042619700180657,0.4079640701809283,0.47802826113887925,0.5025728285902984,0.6160137439831831,0.5173686963054971,0.44304823750327116,0.17903619500574994,0.49089868297178707,0.47207746031259495,0.34215085095876546,0.41390109680473275,0.45470407435945825,0.1494642520203654,0.10595293139736331,0.08074184045037207,0.5109150150807914,0.43597051802575737,0.38016272187104777,0.493335914682404,0.41643410913235834,0.17654875838316703,0.34718713295402415,0.15372306408489653,0.16848649837184207,0.06941701806579051,0.4453137806814401,0.35806259421635683,0.5149151945679015,0.5127947929767744
MRPL13,0.10035894955182045,0.1406767339788952,0.015607169386559691,0.14681405868329855,0.8198592663852282,0.7679166292455865,0.7678839721345152,0.2604794765821556,0.9999999999999977,0.03130427019966745,-0.009267376329644375,-0.1276222440639181,0.649454482282952,0.04728008569067406,0.036694743043416286,0.08305801961351092,0.6802773509942849,-0.06288832332953627,0.7606661229164907,0.5163019854776778,0.1437088024675777,0.17214524271468107,0.18884509246208325,0.3133173803293418,-0.01061645843742437,0.09139822246399133,0.5470707625138712,0.2573697071925053,0.07312816328788214,-0.08816505407993935,0.08776515811316363,0.08043967604830057,0.7407932359177172,0.6343673028295099,0.6765258209005524,0.019565387799524908,0.05491942300580606,0.07908829202572722,-0.0492279369501978,0.19602512322120638,0.7203635616194599,-0.07683912670117046,0.6635194436192846,0.5757977014675347,0.5911812556320568,-0.12268774189361625,0.18922444106171676,0.1640821259477473,0.23844503658943528
SLC25A44,0.46489939165387684,0.4952209714488145,0.4974150993726709,0.4223709764092516,0.07338077939670068,0.07019970300374695,0.06571379101583225,0.5662408161476901,0.031304270199708106,1.0000000000000684,0.49243857921025813,0.6320012742734743,0.11016778987568321,0.5564562244197128,0.40276801028431836,0.41970994978714155,0.14902360800456346,0.3787676602724427,-0.009497139855495829,0.02787230260689416,0.42546408535439173,0.4576280275650969,0.5129333146902115,0.4998322074094501,0.47894914167930147,0.5245243166904343,0.1545909915033774,0.4951785854339528,0.3696308166161831,0.5057339668205725,0.43739257469140347,0.4700279643092623,-0.08304425313417824,0.05762970075632834,-0.0632535050165342,0.4829709057407949,0.3914930773462304,0.5086716387299143,0.45951576456938226,0.4307228794653893,-0.02243420949542918,0.36115578463686493,-0.018499467306104356,0.1563327868882315,0.03670154518994301,0.4730266656715928,0.29365684684401516,0.5511570606416822,0.4857254734663789
