gene,signature,cluster
ACOT8,Metastatic,G1
ACSS2,Metastatic,G1
ADA,Metastatic,G1
ADNP,Metastatic,G1
ADRM1,Metastatic,G1
AHCY,Metastatic,G1
APCDD1L,Metastatic,G1
ARFGAP1,Metastatic,G1
ARFGEF2,Metastatic,G1
ARFRP1,Metastatic,G1
ASIP,Metastatic,G1
ATP5E,Metastatic,G1
ATP9A,Metastatic,G1
AURKA,Metastatic,G1
B4GALT5,Metastatic,G1
BCAS1,Metastatic,G1
BCAS4,Metastatic,G1
BCL2L1,Metastatic,G1
BMP7,Metastatic,G1
C20orf166,Metastatic,G1
C20orf195,Metastatic,G1
C20orf197,Metastatic,G1
C20orf85,Metastatic,G1
CBFA2T2,Metastatic,G1
CBLN4,Metastatic,G1
CD40,Metastatic,G1
CDH22,Metastatic,G1
CDH26,Metastatic,G1
CDH4,Metastatic,G1
CDK5RAP1,Metastatic,G1
CEBPB,Metastatic,G1
CHD6,Metastatic,G1
CHMP4B,Metastatic,G1
CHRNA4,Metastatic,G1
COL20A1,Metastatic,G1
COL9A3,Metastatic,G1
COX4I2,Metastatic,G1
CSE1L,Metastatic,G1
CSTF1,Metastatic,G1
CTCFL,Metastatic,G1
CTSA,Metastatic,G1
CTSZ,Metastatic,G1
CYP24A1,Metastatic,G1
DDX27,Metastatic,G1
DEFB115,Metastatic,G1
DEFB118,Metastatic,G1
DEFB119,Metastatic,G1
DEFB123,Metastatic,G1
DIDO1,Metastatic,G1
DLGAP4,Metastatic,G1
DNAJC5,Metastatic,G1
DNTTIP1,Metastatic,G1
DOK5,Metastatic,G1
DPM1,Metastatic,G1
DSN1,Metastatic,G1
DUSP15,Metastatic,G1
DYNLRB1,Metastatic,G1
E2F1,Metastatic,G1
EDEM2,Metastatic,G1
EDN3,Metastatic,G1
EEF1A2,Metastatic,G1
EIF2S2,Metastatic,G1
ELMO2,Metastatic,G1
EPB41L1,Metastatic,G1
EYA2,Metastatic,G1
FAM83C,Metastatic,G1
GATA5,Metastatic,G1
GDAP1L1,Metastatic,G1
GGT7,Metastatic,G1
GMEB2,Metastatic,G1
GNAS,Metastatic,G1
GSS,Metastatic,G1
GTSF1L,Metastatic,G1
HCK,Metastatic,G1
HM13,Metastatic,G1
HNF4A,Metastatic,G1
HRH3,Metastatic,G1
ID1,Metastatic,G1
IFT52,Metastatic,G1
ITCH,Metastatic,G1
JPH2,Metastatic,G1
KCNB1,Metastatic,G1
KCNG1,Metastatic,G1
KCNK15,Metastatic,G1
KCNQ2,Metastatic,G1
KCNS1,Metastatic,G1
KIF3B,Metastatic,G1
LAMA5,Metastatic,G1
LPIN3,Metastatic,G1
LSM14B,Metastatic,G1
MAFB,Metastatic,G1
MANBAL,Metastatic,G1
MAPRE1,Metastatic,G1
MATN4,Metastatic,G1
MMP24,Metastatic,G1
MMP9,Metastatic,G1
MOCS3,Metastatic,G1
MYBL2,Metastatic,G1
MYH7B,Metastatic,G1
MYLK2,Metastatic,G1
MYT1,Metastatic,G1
NCOA3,Metastatic,G1
NCOA5,Metastatic,G1
NCOA6,Metastatic,G1
NDRG3,Metastatic,G1
NEURL2,Metastatic,G1
NFATC2,Metastatic,G1
NKAIN4,Metastatic,G1
NPEPL1,Metastatic,G1
NTSR1,Metastatic,G1
OGFR,Metastatic,G1
OPRL1,Metastatic,G1
OSBPL2,Metastatic,G1
PARD6B,Metastatic,G1
PCMTD2,Metastatic,G1
PDRG1,Metastatic,G1
PFDN4,Metastatic,G1
PHACTR3,Metastatic,G1
PI3,Metastatic,G1
PIGT,Metastatic,G1
PIGU,Metastatic,G1
PKIG,Metastatic,G1
