gene,signature,cluster
ABHD12,Primary (Early Age Diagnosis),G1
ACSS1,Primary (Early Age Diagnosis),G1
ADAM9,Primary (Early Age Diagnosis),G1
ADCK5,Primary (Early Age Diagnosis),G1
ADHFE1,Primary (Early Age Diagnosis),G1
AGO2,Primary (Early Age Diagnosis),G1
ANKRD46,Primary (Early Age Diagnosis),G1
APMAP,Primary (Early Age Diagnosis),G1
ARFGEF1,Primary (Early Age Diagnosis),G1
ARHGAP39,Primary (Early Age Diagnosis),G1
ASAP1,Primary (Early Age Diagnosis),G1
ATAD2,Primary (Early Age Diagnosis),G1
ATP6V1C1,Primary (Early Age Diagnosis),G1
ATP6V1H,Primary (Early Age Diagnosis),G1
AZIN1,Primary (Early Age Diagnosis),G1
BOP1,Primary (Early Age Diagnosis),G1
C8orf33,Primary (Early Age Diagnosis),G1
C8orf44,Primary (Early Age Diagnosis),G1
C8orf74,Primary (Early Age Diagnosis),G1
C8orf76,Primary (Early Age Diagnosis),G1
C8orf82,Primary (Early Age Diagnosis),G1
CA13,Primary (Early Age Diagnosis),G1
CA3,Primary (Early Age Diagnosis),G1
CASC8,Primary (Early Age Diagnosis),G1
CHCHD7,Primary (Early Age Diagnosis),G1
CHD7,Primary (Early Age Diagnosis),G1
CHMP4C,Primary (Early Age Diagnosis),G1
CHRAC1,Primary (Early Age Diagnosis),G1
COMMD5,Primary (Early Age Diagnosis),G1
COPS5,Primary (Early Age Diagnosis),G1
COX6C,Primary (Early Age Diagnosis),G1
CPNE3,Primary (Early Age Diagnosis),G1
CPSF1,Primary (Early Age Diagnosis),G1
CRNKL1,Primary (Early Age Diagnosis),G1
CSPP1,Primary (Early Age Diagnosis),G1
CST1,Primary (Early Age Diagnosis),G1
CST4,Primary (Early Age Diagnosis),G1
CST8,Primary (Early Age Diagnosis),G1
CSTL1,Primary (Early Age Diagnosis),G1
CYC1,Primary (Early Age Diagnosis),G1
CYHR1,Primary (Early Age Diagnosis),G1
DCAF13,Primary (Early Age Diagnosis),G1
DECR1,Primary (Early Age Diagnosis),G1
DEFA4,Primary (Early Age Diagnosis),G1
DENND3,Primary (Early Age Diagnosis),G1
DEPTOR,Primary (Early Age Diagnosis),G1
DERL1,Primary (Early Age Diagnosis),G1
DGAT1,Primary (Early Age Diagnosis),G1
DPY19L4,Primary (Early Age Diagnosis),G1
DSCC1,Primary (Early Age Diagnosis),G1
E2F5,Primary (Early Age Diagnosis),G1
EBAG9,Primary (Early Age Diagnosis),G1
EEF1D,Primary (Early Age Diagnosis),G1
EFR3A,Primary (Early Age Diagnosis),G1
EIF3H,Primary (Early Age Diagnosis),G1
EMC2,Primary (Early Age Diagnosis),G1
ENTPD6,Primary (Early Age Diagnosis),G1
ENY2,Primary (Early Age Diagnosis),G1
EPPK1,Primary (Early Age Diagnosis),G1
ERICH1,Primary (Early Age Diagnosis),G1
ESRP1,Primary (Early Age Diagnosis),G1
EXOSC4,Primary (Early Age Diagnosis),G1
EXT1,Primary (Early Age Diagnosis),G1
FABP5,Primary (Early Age Diagnosis),G1
FAM135B,Primary (Early Age Diagnosis),G1
FAM83H,Primary (Early Age Diagnosis),G1
FAM84B,Primary (Early Age Diagnosis),G1
FAM86B1,Primary (Early Age Diagnosis),G1
FAM86B2,Primary (Early Age Diagnosis),G1
FAM91A1,Primary (Early Age Diagnosis),G1
FBXL6,Primary (Early Age Diagnosis),G1
FBXO32,Primary (Early Age Diagnosis),G1
FGF20,Primary (Early Age Diagnosis),G1
FNTA,Primary (Early Age Diagnosis),G1
FOXH1,Primary (Early Age Diagnosis),G1
GATA4,Primary (Early Age Diagnosis),G1
GGH,Primary (Early Age Diagnosis),G1
GINS1,Primary (Early Age Diagnosis),G1
GINS4,Primary (Early Age Diagnosis),G1
GLI4,Primary (Early Age Diagnosis),G1
GPAA1,Primary (Early Age Diagnosis),G1
GPR20,Primary (Early Age Diagnosis),G1
GRHL2,Primary (Early Age Diagnosis),G1
GRINA,Primary (Early Age Diagnosis),G1
GSDMD,Primary (Early Age Diagnosis),G1
GZF1,Primary (Early Age Diagnosis),G1
HGSNAT,Primary (Early Age Diagnosis),G1
HOOK3,Primary (Early Age Diagnosis),G1
HSF1,Primary (Early Age Diagnosis),G1
IDO2,Primary (Early Age Diagnosis),G1
IKBKB,Primary (Early Age Diagnosis),G1
IMPA1,Primary (Early Age Diagnosis),G1
IMPAD1,Primary (Early Age Diagnosis),G1
INTS8,Primary (Early Age Diagnosis),G1
JPH1,Primary (Early Age Diagnosis),G1
JRK,Primary (Early Age Diagnosis),G1
KAT6A,Primary (Early Age Diagnosis),G1
KBTBD11,Primary (Early Age Diagnosis),G1
KCNK9,Primary (Early Age Diagnosis),G1
KHDRBS3,Primary (Early Age Diagnosis),G1
KIFC2,Primary (Early Age Diagnosis),G1
KLF10,Primary (Early Age Diagnosis),G1
LACTB2,Primary (Early Age Diagnosis),G1
LAPTM4B,Primary (Early Age Diagnosis),G1
LINC00964,Primary (Early Age Diagnosis),G1
LRRC14,Primary (Early Age Diagnosis),G1
LRRC6,Primary (Early Age Diagnosis),G1
LRRC69,Primary (Early Age Diagnosis),G1
LRRCC1,Primary (Early Age Diagnosis),G1
LY6K,Primary (Early Age Diagnosis),G1
LYN,Primary (Early Age Diagnosis),G1
LYPD2,Primary (Early Age Diagnosis),G1
MAF1,Primary (Early Age Diagnosis),G1
MAPK15,Primary (Early Age Diagnosis),G1
MATN2,Primary (Early Age Diagnosis),G1
MCM4,Primary (Early Age Diagnosis),G1
MCMDC2,Primary (Early Age Diagnosis),G1
MED30,Primary (Early Age Diagnosis),G1
MFSD3,Primary (Early Age Diagnosis),G1
MMP16,Primary (Early Age Diagnosis),G1
MROH1,Primary (Early Age Diagnosis),G1
MROH5,Primary (Early Age Diagnosis),G1
MROH6,Primary (Early Age Diagnosis),G1
MRPL13,Primary (Early Age Diagnosis),G1
MRPL15,Primary (Early Age Diagnosis),G1
MRPS28,Primary (Early Age Diagnosis),G1
MSRA,Primary (Early Age Diagnosis),G1
MTBP,Primary (Early Age Diagnosis),G1
MTDH,Primary (Early Age Diagnosis),G1
MTSS1,Primary (Early Age Diagnosis),G1
MTUS1,Primary (Early Age Diagnosis),G1
MYC,Primary (Early Age Diagnosis),G1
NAA20,Primary (Early Age Diagnosis),G1
NANP,Primary (Early Age Diagnosis),G1
NAPB,Primary (Early Age Diagnosis),G1
NAT2,Primary (Early Age Diagnosis),G1
NBN,Primary (Early Age Diagnosis),G1
NCOA2,Primary (Early Age Diagnosis),G1
NCOR1P1,Primary (Early Age Diagnosis),G1
NDUFAF6,Primary (Early Age Diagnosis),G1
NDUFB9,Primary (Early Age Diagnosis),G1
NINL,Primary (Early Age Diagnosis),G1
NIPAL2,Primary (Early Age Diagnosis),G1
NKAIN3,Primary (Early Age Diagnosis),G1
NPBWR1,Primary (Early Age Diagnosis),G1
NRBP2,Primary (Early Age Diagnosis),G1
NSMAF,Primary (Early Age Diagnosis),G1
NSMCE2,Primary (Early Age Diagnosis),G1
NUDCD1,Primary (Early Age Diagnosis),G1
NXT1,Primary (Early Age Diagnosis),G1
OC90,Primary (Early Age Diagnosis),G1
OSGIN2,Primary (Early Age Diagnosis),G1
OSR2,Primary (Early Age Diagnosis),G1
PABPC1,Primary (Early Age Diagnosis),G1
PARP10,Primary (Early Age Diagnosis),G1
PDE7A,Primary (Early Age Diagnosis),G1
PDP1,Primary (Early Age Diagnosis),G1
PHF20L1,Primary (Early Age Diagnosis),G1
PINX1,Primary (Early Age Diagnosis),G1
PLAG1,Primary (Early Age Diagnosis),G1
PLEC,Primary (Early Age Diagnosis),G1
POLR2K,Primary (Early Age Diagnosis),G1
POP1,Primary (Early Age Diagnosis),G1
POU5F1B,Primary (Early Age Diagnosis),G1
PPP1R16A,Primary (Early Age Diagnosis),G1
PRKDC,Primary (Early Age Diagnosis),G1
PTDSS1,Primary (Early Age Diagnosis),G1
PTK2,Primary (Early Age Diagnosis),G1
PTP4A3,Primary (Early Age Diagnosis),G1
PUF60,Primary (Early Age Diagnosis),G1
PVT1,Primary (Early Age Diagnosis),G1
PYGB,Primary (Early Age Diagnosis),G1
RAB11FIP1,Primary (Early Age Diagnosis),G1
RAB2A,Primary (Early Age Diagnosis),G1
RAD21,Primary (Early Age Diagnosis),G1
RAD54B,Primary (Early Age Diagnosis),G1
RALGAPA2,Primary (Early Age Diagnosis),G1
RALYL,Primary (Early Age Diagnosis),G1
RB1CC1,Primary (Early Age Diagnosis),G1
RDH10,Primary (Early Age Diagnosis),G1
RECQL4,Primary (Early Age Diagnosis),G1
RHPN1,Primary (Early Age Diagnosis),G1
RIN2,Primary (Early Age Diagnosis),G1
RIPK2,Primary (Early Age Diagnosis),G1
RMDN1,Primary (Early Age Diagnosis),G1
RNF139,Primary (Early Age Diagnosis),G1
RNF170,Primary (Early Age Diagnosis),G1
RNF19A,Primary (Early Age Diagnosis),G1
RP1,Primary (Early Age Diagnosis),G1
RP1L1,Primary (Early Age Diagnosis),G1
RPL23AP53,Primary (Early Age Diagnosis),G1
RPL30,Primary (Early Age Diagnosis),G1
RPL7,Primary (Early Age Diagnosis),G1
RPL8,Primary (Early Age Diagnosis),G1
RPS20,Primary (Early Age Diagnosis),G1
RRS1,Primary (Early Age Diagnosis),G1
SAMD12,Primary (Early Age Diagnosis),G1
SBSPON,Primary (Early Age Diagnosis),G1
SCRIB,Primary (Early Age Diagnosis),G1
SCRT1,Primary (Early Age Diagnosis),G1
