gene,signature,cluster
AARD,"Primary (KRAS WT, MSS, LS)",G1
ABHD12,"Primary (KRAS WT, MSS, LS)",G1
ACSS1,"Primary (KRAS WT, MSS, LS)",G1
ADCK5,"Primary (KRAS WT, MSS, LS)",G1
ADRA1D,"Primary (KRAS WT, MSS, LS)",G1
AGO2,"Primary (KRAS WT, MSS, LS)",G1
AGPAT5,"Primary (KRAS WT, MSS, LS)",G1
AKAP10,"Primary (KRAS WT, MSS, LS)",G1
ANGPT1,"Primary (KRAS WT, MSS, LS)",G1
ANKEF1,"Primary (KRAS WT, MSS, LS)",G1
ANKRD46,"Primary (KRAS WT, MSS, LS)",G1
ANXA13,"Primary (KRAS WT, MSS, LS)",G1
AP5S1,"Primary (KRAS WT, MSS, LS)",G1
APMAP,"Primary (KRAS WT, MSS, LS)",G1
ARFGEF1,"Primary (KRAS WT, MSS, LS)",G1
ARHGAP39,"Primary (KRAS WT, MSS, LS)",G1
ARMC1,"Primary (KRAS WT, MSS, LS)",G1
ASAP1,"Primary (KRAS WT, MSS, LS)",G1
ATAD2,"Primary (KRAS WT, MSS, LS)",G1
ATP6V0D2,"Primary (KRAS WT, MSS, LS)",G1
ATP6V1C1,"Primary (KRAS WT, MSS, LS)",G1
ATRN,"Primary (KRAS WT, MSS, LS)",G1
AZIN1,"Primary (KRAS WT, MSS, LS)",G1
BAALC,"Primary (KRAS WT, MSS, LS)",G1
BFSP1,"Primary (KRAS WT, MSS, LS)",G1
BHLHE22,"Primary (KRAS WT, MSS, LS)",G1
BIN3,"Primary (KRAS WT, MSS, LS)",G1
BMP2,"Primary (KRAS WT, MSS, LS)",G1
BOP1,"Primary (KRAS WT, MSS, LS)",G1
C20orf202,"Primary (KRAS WT, MSS, LS)",G1
C20orf27,"Primary (KRAS WT, MSS, LS)",G1
C20orf96,"Primary (KRAS WT, MSS, LS)",G1
C8orf33,"Primary (KRAS WT, MSS, LS)",G1
C8orf34,"Primary (KRAS WT, MSS, LS)",G1
C8orf37,"Primary (KRAS WT, MSS, LS)",G1
C8orf44,"Primary (KRAS WT, MSS, LS)",G1
C8orf76,"Primary (KRAS WT, MSS, LS)",G1
C8orf82,"Primary (KRAS WT, MSS, LS)",G1
CA13,"Primary (KRAS WT, MSS, LS)",G1
CA3,"Primary (KRAS WT, MSS, LS)",G1
CCDC25,"Primary (KRAS WT, MSS, LS)",G1
CCNE2,"Primary (KRAS WT, MSS, LS)",G1
CDC25B,"Primary (KRAS WT, MSS, LS)",G1
CDS2,"Primary (KRAS WT, MSS, LS)",G1
CEBPD,"Primary (KRAS WT, MSS, LS)",G1
CENPB,"Primary (KRAS WT, MSS, LS)",G1
CHCHD7,"Primary (KRAS WT, MSS, LS)",G1
CHD7,"Primary (KRAS WT, MSS, LS)",G1
CHMP4C,"Primary (KRAS WT, MSS, LS)",G1
CHMP7,"Primary (KRAS WT, MSS, LS)",G1
CHRAC1,"Primary (KRAS WT, MSS, LS)",G1
CNOT7,"Primary (KRAS WT, MSS, LS)",G1
COL22A1,"Primary (KRAS WT, MSS, LS)",G1
COLEC10,"Primary (KRAS WT, MSS, LS)",G1
COMMD5,"Primary (KRAS WT, MSS, LS)",G1
COPS5,"Primary (KRAS WT, MSS, LS)",G1
COX6C,"Primary (KRAS WT, MSS, LS)",G1
CPA6,"Primary (KRAS WT, MSS, LS)",G1
CPNE3,"Primary (KRAS WT, MSS, LS)",G1
CPSF1,"Primary (KRAS WT, MSS, LS)",G1
CRLS1,"Primary (KRAS WT, MSS, LS)",G1
CRNKL1,"Primary (KRAS WT, MSS, LS)",G1
CSMD3,"Primary (KRAS WT, MSS, LS)",G1
CSNK2A1,"Primary (KRAS WT, MSS, LS)",G1
CSPP1,"Primary (KRAS WT, MSS, LS)",G1
CST3,"Primary (KRAS WT, MSS, LS)",G1
CTHRC1,"Primary (KRAS WT, MSS, LS)",G1
CYC1,"Primary (KRAS WT, MSS, LS)",G1
CYHR1,"Primary (KRAS WT, MSS, LS)",G1
CYP7B1,"Primary (KRAS WT, MSS, LS)",G1
DCAF13,"Primary (KRAS WT, MSS, LS)",G1
DCSTAMP,"Primary (KRAS WT, MSS, LS)",G1
