gene,signature,cluster
ADAM28,Primary,G1
ADAMDEC1,Primary,G1
ADNP2,Primary,G1
AGPAT5,Primary,G1
ALPK2,Primary,G1
ANGPT2,Primary,G1
ARHGEF10,Primary,G1
ASAH1,Primary,G1
ATP6V1B2,Primary,G1
ATP8B1,Primary,G1
BIN3,Primary,G1
BMP1,Primary,G1
C18orf21,Primary,G1
C18orf25,Primary,G1
C18orf54,Primary,G1
C8orf48,Primary,G1
C8orf58,Primary,G1
C8orf74,Primary,G1
CCDC102B,Primary,G1
CCDC178,Primary,G1
CCDC25,Primary,G1
CCDC68,Primary,G1
CD226,Primary,G1
CDCA2,Primary,G1
CDH19,Primary,G1
CDH2,Primary,G1
CHMP7,Primary,G1
CLN8,Primary,G1
CLU,Primary,G1
CNDP2,Primary,G1
CNOT7,Primary,G1
CPLX4,Primary,G1
CSGALNACT1,Primary,G1
CSMD1,Primary,G1
CTDP1,Primary,G1
CTIF,Primary,G1
CTSB,Primary,G1
DCC,Primary,G1
DEFA4,Primary,G1
DEFA5,Primary,G1
DEFB1,Primary,G1
DEFB4A,Primary,G1
DLC1,Primary,G1
DMTN,Primary,G1
DOCK5,Primary,G1
DOK2,Primary,G1
DPYSL2,Primary,G1
DSC2,Primary,G1
DSC3,Primary,G1
DSEL,Primary,G1
DSG1,Primary,G1
DSG2,Primary,G1
DTNA,Primary,G1
DYM,Primary,G1
EBF2,Primary,G1
EGR3,Primary,G1
ELAC1,Primary,G1
ELP2,Primary,G1
ELP3,Primary,G1
ENTPD4,Primary,G1
EPG5,Primary,G1
EPHX2,Primary,G1
ERI1,Primary,G1
ERICH1,Primary,G1
ESCO2,Primary,G1
EXTL3,Primary,G1
FAM160B2,Primary,G1
FAM167A,Primary,G1
FAM66D,Primary,G1
FAM66E,Primary,G1
FAM86B1,Primary,G1
FAM86B2,Primary,G1
FAM86B3P,Primary,G1
FBXO15,Primary,G1
FBXO16,Primary,G1
FBXO25,Primary,G1
FDFT1,Primary,G1
FECH,Primary,G1
FGF17,Primary,G1
FGF20,Primary,G1
FGL1,Primary,G1
FZD3,Primary,G1
GATA4,Primary,G1
GFRA2,Primary,G1
GNRH1,Primary,G1
HDHD2,Primary,G1
HMBOX1,Primary,G1
HR,Primary,G1
INO80C,Primary,G1
INTS10,Primary,G1
INTS9,Primary,G1
KBTBD11,Primary,G1
KCTD9,Primary,G1
KDSR,Primary,G1
KIAA1468,Primary,G1
LGI3,Primary,G1
LINC00908,Primary,G1
LINC00909,Primary,G1
LMAN1,Primary,G1
LONRF1,Primary,G1
LOXHD1,Primary,G1
LOXL2,Primary,G1
LPL,Primary,G1
LZTS1,Primary,G1
MAPRE2,Primary,G1
MBD1,Primary,G1
MC4R,Primary,G1
MCPH1,Primary,G1
MEX3C,Primary,G1
MFHAS1,Primary,G1
MICU3,Primary,G1
MRO,Primary,G1
MSR1,Primary,G1
MSRA,Primary,G1
MTMR7,Primary,G1
MTMR9,Primary,G1
MTUS1,Primary,G1
MYOM2,Primary,G1
NAT1,Primary,G1
NAT2,Primary,G1
NEDD4L,Primary,G1
NEFM,Primary,G1
NEIL2,Primary,G1
NFATC1,Primary,G1
NPM2,Primary,G1
NUDT18,Primary,G1
OACYLP,Primary,G1
ONECUT2,Primary,G1
