,0,1,start,end,cor,pvalue
0,0,0,ABCC4,ABCC4,1.0,0.0
1,378,378,RP9,RP9,1.0,0.0
2,377,377,ROMO1,ROMO1,1.0,0.0
3,39,39,BCAS4,BCAS4,1.0,0.0
4,376,376,RNF6,RNF6,1.0,0.0
5,40,40,BCL2L1,BCL2L1,1.0,0.0
6,375,375,RNF219,RNF219,1.0,0.0
7,374,374,RNF216,RNF216,1.0,0.0
8,373,373,RNF114,RNF114,1.0,0.0
9,41,41,BIRC7,BIRC7,1.0,0.0
10,372,372,RNASEH2B,RNASEH2B,1.0,0.0
11,371,371,RIMS4,RIMS4,1.0,0.0
12,370,370,RGS19,RGS19,1.0,0.0
13,369,369,RFXAP,RFXAP,1.0,0.0
14,379,379,RP9P,RP9P,1.0,0.0
15,42,42,BIVM,BIVM,1.0,0.0
16,367,367,RCBTB2,RCBTB2,1.0,0.0
17,43,43,BLCAP,BLCAP,1.0,0.0
18,366,366,RCBTB1,RCBTB1,1.0,0.0
19,365,365,RBM39,RBM39,1.0,0.0
20,364,364,RBM38,RBM38,1.0,0.0
21,363,363,RBM26,RBM26,1.0,0.0
22,44,44,BMPER,BMPER,1.0,0.0
23,362,362,RBM12,RBM12,1.0,0.0
24,361,361,RBL1,RBL1,1.0,0.0
25,360,360,RBAK,RBAK,1.0,0.0
26,359,359,RB1,RB1,1.0,0.0
27,358,358,RASL11A,RASL11A,1.0,0.0
28,357,357,RASA3,RASA3,1.0,0.0
29,368,368,RFC3,RFC3,1.0,0.0
30,380,380,RPA3,RPA3,1.0,0.0
31,38,38,BBS9,BBS9,1.0,0.0
32,381,381,RPL21,RPL21,1.0,0.0
33,407,407,SLC7A1,SLC7A1,1.0,0.0
34,406,406,SLC46A3,SLC46A3,1.0,0.0
35,405,405,SLC35C2,SLC35C2,1.0,0.0
36,404,404,SLC2A4RG,SLC2A4RG,1.0,0.0
37,403,403,SLC25A30,SLC25A30,1.0,0.0
38,402,402,SLC25A15,SLC25A15,1.0,0.0
39,401,401,SLC17A9,SLC17A9,1.0,0.0
40,400,400,SLC15A1,SLC15A1,1.0,0.0
41,399,399,SLC13A3,SLC13A3,1.0,0.0
42,35,35,AURKA,AURKA,1.0,0.0
43,398,398,SKAP2,SKAP2,1.0,0.0
44,397,397,SKA3,SKA3,1.0,0.0
45,396,396,SGK2,SGK2,1.0,0.0
46,36,36,AVL9,AVL9,1.0,0.0
47,395,395,SETDB2,SETDB2,1.0,0.0
48,394,394,SERP2,SERP2,1.0,0.0
49,393,393,SERINC3,SERINC3,1.0,0.0
50,392,392,SDC4,SDC4,1.0,0.0
51,391,391,SCRN1,SCRN1,1.0,0.0
52,390,390,SCAND1,SCAND1,1.0,0.0
53,389,389,SAP18,SAP18,1.0,0.0
54,388,388,SAMD10,SAMD10,1.0,0.0
55,387,387,SALL4,SALL4,1.0,0.0
56,37,37,B4GALT5,B4GALT5,1.0,0.0
57,386,386,SACS,SACS,1.0,0.0
58,385,385,RTEL1,RTEL1,1.0,0.0
59,384,384,RPS21,RPS21,1.0,0.0
60,383,383,RPRD1B,RPRD1B,1.0,0.0
61,382,382,RPN2,RPN2,1.0,0.0
62,356,356,RAPGEF5,RAPGEF5,1.0,0.0
63,45,45,BPI,BPI,1.0,0.0
64,355,355,RAP2A,RAP2A,1.0,0.0
65,354,354,RALY,RALY,1.0,0.0
66,331,331,POLR1D,POLR1D,1.0,0.0
67,330,330,POFUT1,POFUT1,1.0,0.0
68,329,329,PMS2CL,PMS2CL,1.0,0.0
69,102,102,CYTH3,CYTH3,1.0,0.0
70,328,328,PMS2,PMS2,1.0,0.0
71,327,327,PMEPA1,PMEPA1,1.0,0.0
72,326,326,PLTP,PLTP,1.0,0.0
73,325,325,PLEKHA8,PLEKHA8,1.0,0.0
74,324,324,PLCG1,PLCG1,1.0,0.0
75,323,323,PLAGL2,PLAGL2,1.0,0.0
76,51,51,C7orf26,C7orf26,1.0,0.0
77,322,322,PKIG,PKIG,1.0,0.0
78,321,321,PIGU,PIGU,1.0,0.0
79,320,320,PIGT,PIGT,1.0,0.0
80,52,52,C7orf31,C7orf31,1.0,0.0
81,319,319,PIBF1,PIBF1,1.0,0.0
82,318,318,PHF20,PHF20,1.0,0.0
